"",Identifier,Company Name,Country of Exchange,GICS Industry Name,year,FV,ESG,SIZE,LEV,lctat,lctlt,chlct,CH,CF,cheat,Inventory,Fixed,Growth,NI,BoardMeetings,Female,CEO,G_score,E_score,GDPgrowth,GDPpercapita,INF,ClimateRiskScore
7,ADIA.NS,Aditya Birla Fashion and Retail Ltd,India,Specialty Retail,2023,0.422607195,77.38594007,9.430264117,0.421042972,0.385310405,0.469426943,0.0,0.020598648,-28633473.31,0.083764532,0.200704842,0.259060772,-48.86797352,-108820635.9,7,25.0,TRUE,72.83590667,91.14249802,9.19075493,3.403141173,2.591949545,2.700839886670515
7,ADIA.NS,Aditya Birla Fashion and Retail Ltd,India,Specialty Retail,2022,0.545463637,74.7853846,9.316841782,0.385702248,0.41975192,0.522201432,0.026729632,0.029427954,69920886.08,0.068049102,0.257712449,0.28039267,40.99860988,-7238315.482,11,18.18181818,TRUE,58.92766532,90.9485559,7.609364978,3.370596035,5.897141859,1.9975283087819933
8,ADNA.NS,Adani Green Energy Ltd,India,Independent Power and Renewable Electricity Producers,2024,1.343004325,68.14359862,10.11516533,0.718504821,0.151600567,0.170137315,0.122631454,0.001274709,70801638.39,0.050546052,0.001382431,0.846532254,18.61666385,182211819.8,8,10.0,TRUE,38.2418334,82.87470805,6.48422363,3.430826821,3.2018101,1.1379717049290217
8,ADNA.NS,Adani Green Energy Ltd,India,Independent Power and Renewable Electricity Producers,2023,1.706881351,58.2289489,10.0262241,0.732544218,0.302853012,0.340694247,0.058103976,0.000564729,72705458.91,0.060640957,0.004269353,0.775011859,16.63712432,116496700.7,6,22.22222222,TRUE,37.8878371,68.34012561,9.19075493,3.403141173,2.591949545,1.1304347093368994
8,ADNA.NS,Adani Green Energy Ltd,India,Independent Power and Renewable Electricity Producers,2022,2.202171176,56.37149618,9.913748095,0.804961328,0.125339588,0.140583113,0.037427455,0.010183934,52945472.25,0.041298615,0.001811137,0.794940693,40.23842821,111246348.6,7,10.0,TRUE,37.25494894,68.31342898,7.609364978,3.370596035,5.897141859,1.1094074337584354
9,ADRG.NS,Aarti Drugs Ltd,India,Pharmaceuticals,2024,1.625164476,27.27785205,8.479011192,0.238891823,0.325077291,0.694189171,0.0,0.002936287,-253949.6782,0.009067062,0.183684963,0.461855454,-7.917878416,19672323.0,7,12.5,TRUE,13.82770375,27.88294386,6.48422363,3.430826821,3.2018101,1.3370686312150497
9,ADRG.NS,Aarti Drugs Ltd,India,Pharmaceuticals,2023,1.717221207,29.95750781,8.465121892,0.231988918,0.327066452,0.691289593,0.0,0.002772084,-91265.74685,0.008067309,0.199761836,0.425568934,-8.231720915,20586766.65,6,15.38461538,TRUE,11.700333,32.5683342,9.19075493,3.403141173,2.591949545,1.302833031518337
9,ADRG.NS,Aarti Drugs Ltd,India,Pharmaceuticals,2022,1.713052941,21.97226596,8.469405785,0.251472269,0.392119355,0.772583645,0.0,0.003098788,-1717210.321,0.008247839,0.213220196,0.356093104,0.824157758,20247955.21,6,7.142857143,TRUE,5.379019575,15.80287369,7.609364978,3.370596035,5.897141859,1.7258955146559192
10,AEGS.NS,Aegis Logistics Ltd,India,"Oil, Gas & Consumable Fuels",2024,2.130633047,43.87395763,9.118774165,0.410054281,0.119470804,0.203271709,0.031409267,0.0,44294324.17,0.339846656,0.017482045,0.567785988,-6.363316159,92149198.36,5,11.11111111,FALSE,62.81026582,28.71978705,6.48422363,3.430826821,3.2018101,1.845842496975696
10,AEGS.NS,Aegis Logistics Ltd,India,"Oil, Gas & Consumable Fuels",2023,3.00060079,39.83530144,8.986122,0.330172142,0.129221696,0.249655643,0.034777012,0.0,23969562.09,0.210395073,0.009847807,0.597098744,-19.49514306,80648374.33,6,11.11111111,FALSE,55.54594944,29.29957194,9.19075493,3.403141173,2.591949545,1.845842496975696
10,AEGS.NS,Aegis Logistics Ltd,India,"Oil, Gas & Consumable Fuels",2022,3.388944885,28.21805479,8.940415925,0.268599606,0.158173044,0.312075696,0.044871905,0.0,89862658.23,0.321211924,0.022269012,0.566360841,72.1024159,62158726.87,8,11.11111111,TRUE,44.01244524,26.19894286,7.609364978,3.370596035,5.897141859,1.528238122071952
