path_to_file,year,company_name,Identifier,ClimateRiskScore,Index,Identifier,Company Name,Country of Exchange,GICS Industry Name,Year,FV,ESG,SIZE,LEV,lctat,lctlt,chlct,CH,CF,cheat,Inventory,Fixed,Growth,NI,BoardMeetings,Female,CEO,G_score,E_score,GDPgrowth,GDPpercapita,INF
Dương/101. LAUL/LAUL 2018,2018,Laurus Labs Ltd,LAUL.NS,1.6260420266161244,231.0,LAUL.NS,Laurus Labs Ltd,India,Pharmaceuticals,2018.0,11.1175114,0.0,8.6826182,0.3109791,0.4274467,0.8032049,0.0020514,1.41e-05,-5203.8161318,0.0009260,0.204713,0.5153815,4.2568775,13553628.2162475,0.0,0.0,0,0.0,0.0,6.4538513,3.2936397,3.8842403
Dương/101. LAUL/LAUL 2020,2020,Laurus Labs Ltd,LAUL.NS,1.222650653696988,231.0,LAUL.NS,Laurus Labs Ltd,India,Pharmaceuticals,2020.0,6.9133688,0.0,8.8955828,0.2576543,0.4272792,0.7792708,0.0197220,0.0,6394848.0249395,0.0133096,0.2739584,0.395982,75.0891486,134517412.527175,0.0,0.0,0,0.0,0.0,-5.7777247,3.2803604,4.8148579
Dương/101. LAUL/LAUL 2019,2019,Laurus Labs Ltd,LAUL.NS,1.3517273336589268,231.0,LAUL.NS,Laurus Labs Ltd,India,Pharmaceuticals,2019.0,11.0117049,0.0,8.6970826,0.2878235,0.4512596,0.8544981,0.0009974,0.0,-169912.2562489,0.0004653,0.2413706,0.4730332,13.4611985,33885946.3979929,0.0,0.0,0,0.0,0.0,3.8714369,3.3099342,2.4055172
Dương/101. LAUL/LAUL 2021,2021,Laurus Labs Ltd,LAUL.NS,1.880610288962208,231.0,LAUL.NS,Laurus Labs Ltd,India,Pharmaceuticals,2021.0,5.9962982,33.001408,8.9628608,0.2549727,0.3847581,0.7412555,0.0201156,0.003074,3542754.1520973,0.0126256,0.2526248,0.4604681,-1.1986695,109672548.859441,9.0,12.5,1,26.9420243,34.4116419,9.6895925,3.3501731,8.3549077
Dương/101. LAUL/LAUL 2022,2022,Laurus Labs Ltd,LAUL.NS,2.6519632258132355,231.0,LAUL.NS,Laurus Labs Ltd,India,Pharmaceuticals,2022.0,5.8284974,34.7850932,8.969591,0.2630528,0.3175108,0.6713628,0.0079515,0.0034372,-3612463.4858812,0.0060549,0.2199376,0.4830257,13.0650876,96962025.3164557,6.0,11.1111111,1,21.8194303,33.1349541,7.609365,3.370596,5.8971419
Dương/103. VARB/VARB 2018,2018,Varun Beverages Ltd,VARB.NS,1.3790036156455896,352.0,VARB.NS,Varun Beverages Ltd,India,Beverages,2018.0,22.3324453,0.0,8.9380591,0.4655409,0.2886343,0.4316669,0.0246635,0.0,-3164174.813111,0.0074569,0.1103751,0.6984329,6.2269645,43108539.3904543,0.0,0.0,0,0.0,0.0,6.4538513,3.2936397,3.8842403
Dương/101. LAUL/LAUL 2023,2023,Laurus Labs Ltd,LAUL.NS,1.4073937391242717,231.0,LAUL.NS,Laurus Labs Ltd,India,Pharmaceuticals,2023.0,5.3484674,34.5190269,9.0027026,0.3073078,0.3710825,0.7278348,0.0391385,0.0020424,11190161.9676065,0.0178785,0.2200314,0.482594,-17.7415742,20181163.7672466,5.0,12.5,1,20.9157269,32.425755,9.1907549,3.4031412,2.5919495
Dương/103. VARB/VARB 2020,2020,Varun Beverages Ltd,VARB.NS,1.3790036156455896,352.0,VARB.NS,Varun Beverages Ltd,India,Beverages,2020.0,17.3758637,0.0,9.0637492,0.3831184,0.2878742,0.4934661,0.0263525,0.0047753,-4574443.9058987,0.0302932,0.1275062,0.6968238,-11.6441557,48916975.4176696,0.0,0.0,0,0.0,0.0,-5.7777247,3.2803604,4.8148579
Dương/103. VARB/VARB 2021,2021,Varun Beverages Ltd,VARB.NS,1.697772735138165,352.0,VARB.NS,Varun Beverages Ltd,India,Beverages,2021.0,15.5787196,0.0,9.1094873,0.3534543,0.3152036,0.5489378,0.0450139,0.0015443,6203016.1010918,0.0409854,0.1671556,0.6496191,34.0214701,100185585.56139,0.0,0.0,0,0.0,0.0,9.6895925,3.3501731,8.3549077
Dương/103. VARB/VARB 2019,2019,Varun Beverages Ltd,VARB.NS,1.7232870272044676,352.0,VARB.NS,Varun Beverages Ltd,India,Beverages,2019.0,16.703138,0.0,9.0702869,0.4073672,0.2646849,0.4387918,0.0376342,0.0064862,13319131.0441486,0.0223010,0.1173549,0.7100641,35.1652630,66181499.6496146,0.0,0.0,0,0.0,0.0,3.8714369,3.3099342,2.4055172
