Index,Identifier,Company Name,Country of Exchange,GICS Industry Name,Year,FV,ESG,SIZE,LEV,lctat,lctlt,chlct,CH,CF,cheat,Inventory,Fixed,Growth,NI,BoardMeetings,Female,CEO,G_score,E_score,GDPgrowth,GDPpercapita,INF
3,ADAG.NS,Adani Total Gas Ltd,India,Gas Utilities,2020,18.1935759,0.0000000,8.6415066,0.1651621,0.2522880,0.6364946,0.0126571,0.0000000,-10718241.1091513,0.0042676,0.0162347,0.6368131,-7.5778621,64529581.4703912,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,-5.7777247,3.2803604,4.8148579
3,ADAG.NS,Adani Total Gas Ltd,India,Gas Utilities,2019,24.1688124,0.0000000,8.5168215,0.1729461,0.2386969,0.5878919,0.0331929,0.0278639,-9375705.2022354,0.0395644,0.0166780,0.6085966,0.1076453,52782976.9158271,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,3.8714369,3.3099342,2.4055172
3,ADAG.NS,Adani Total Gas Ltd,India,Gas Utilities,2018,26.4137873,0.0000000,8.4733888,0.1914669,0.2390311,0.5198275,0.2773260,0.0111050,10114194.8540040,0.0536517,0.0213643,0.5546500,17.6662364,33060132.9864123,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,6.4538513,3.2936397,3.8842403
4,ADAI.NS,Adani Energy Solutions Ltd,India,Electric Utilities,2024,1.2493396,53.8062459,9.9372854,0.5445542,0.1354298,0.1930243,0.0614932,0.0212877,169493270.9186660,0.0908059,0.0179613,0.5887967,39.5947058,104840257.4605030,6.0000000,28.5714286,FALSE,57.7169715,51.4131532,6.4842236,3.4308268,3.2018101
4,ADAI.NS,Adani Energy Solutions Ltd,India,Electric Utilities,2023,1.5724465,47.2126724,9.8468349,0.6328167,0.1368529,0.1745137,0.0300261,0.0085586,66157168.5662867,0.0353886,0.0080941,0.6866398,23.1520285,143902819.4361130,6.0000000,28.5714286,TRUE,45.0893124,48.5703105,9.1907549,3.4031412,2.5919495
4,ADAI.NS,Adani Energy Solutions Ltd,India,Electric Utilities,2022,1.6768297,50.6928116,9.8171841,0.6354333,0.1301143,0.1663552,0.0238140,0.0004363,193524.8296008,0.0375109,0.0051782,0.6887954,9.0838570,155354186.9522880,5.0000000,28.5714286,TRUE,45.0204152,47.0811632,7.6093650,3.3705960,5.8971419
4,ADAI.NS,Adani Energy Solutions Ltd,India,Electric Utilities,2021,1.7943912,34.0622126,9.7961156,0.6299874,0.1248994,0.1578705,0.0296496,0.0002798,-9832493.2082939,0.0151846,0.0094050,0.7087077,9.2801729,166588495.0738720,4.0000000,16.6666667,TRUE,21.0061538,26.8214300,9.6895925,3.3501731,8.3549077
4,ADAI.NS,Adani Energy Solutions Ltd,India,Electric Utilities,2020,1.9252383,22.6121221,9.7716841,0.6267110,0.1547091,0.1949225,0.0303620,0.0014017,-132533464.5938440,0.0128097,0.0139702,0.7086980,-10.4378746,163483599.2725980,4.0000000,16.6666667,TRUE,12.4642282,19.2079025,-5.7777247,3.2803604,4.8148579
4,ADAI.NS,Adani Energy Solutions Ltd,India,Electric Utilities,2019,2.1683726,0.0000000,9.7219276,0.6142118,0.1482270,0.1885886,0.1574749,0.0077069,138682914.5261700,0.0540027,0.0210142,0.6433824,43.5029274,74841039.1196421,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,3.8714369,3.3099342,2.4055172
4,ADAI.NS,Adani Energy Solutions Ltd,India,Electric Utilities,2018,2.3865888,0.0000000,9.6740495,0.6165447,0.2048229,0.2717396,0.0238739,0.0008738,-60832610.5810928,0.0484783,0.0138719,0.7204516,74.3108224,80832610.5810928,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,6.4538513,3.2936397,3.8842403
5,ADEL.NS,Adani Enterprises Ltd,India,Trading Companies & Distributors,2024,1.2908276,51.0934411,10.3652503,0.4634160,0.2391451,0.3205429,0.0440712,0.0051356,93531889.9941486,0.0336364,0.0519210,0.4997176,-0.9666666,878902282.0362780,6.0000000,12.5000000,TRUE,30.5254110,62.9070205,6.4842236,3.4308268,3.2018101
5,ADEL.NS,Adani Enterprises Ltd,India,Trading Companies & Distributors,2023,1.5736852,54.8046079,10.2851963,0.4063299,0.2741094,0.3621539,0.0437792,0.0023500,50896220.7558488,0.0264303,0.0590229,0.5016426,-25.4784881,395128974.2051590,9.0000000,11.1111111,TRUE,35.5625290,68.0864770,9.1907549,3.4031412,2.5919495
5,ADEL.NS,Adani Enterprises Ltd,India,Trading Companies & Distributors,2022,1.7843330,57.9400071,10.2360586,0.3760073,0.3166566,0.4131720,0.0358647,0.0019470,118074488.8023370,0.0196456,0.0488950,0.4769943,69.7259822,267767770.2044790,4.0000000,12.5000000,TRUE,48.7231839,56.6558442,7.6093650,3.3705960,5.8971419
