folder_path,folder_name,company_name,company_code,similarity_score,status
Vân/Southern Steel Bhd,Southern Steel Bhd,Southern Steel Bhd,STEE.KL,1.0000000000000002,matched
Thái/ADVA.KL,ADVA.KL,Advance Synergy Bhd,ADVA.KL,1.0,matched
Giang/TVSM.NS,TVSM.NS,TVS Motor Company Ltd,TVSM.NS,1.0,matched
Giang/CUMM.NS,CUMM.NS,Cummins India Ltd,CUMM.NS,1.0,matched
Dương/121. BARA,121. BARA,Bharat Dynamics Ltd,BARA.NS,1.0,matched
Dương/6. GEX,6. GEX,Gelex Group JSC,GEX.HM,1.0,matched
Vân/Nepi Rockcastle NV,Nepi Rockcastle NV,No Va Land Investment Group Corp,NVL.HM,1.0,matched
Vân/VS Industry Bhd,VS Industry Bhd,VST Tillers Tractors Ltd,VST.NS,1.0,matched
Dương/SAPI.NS,SAPI.NS,Sapphire Foods India Ltd,SAPI.NS,1.0,matched
Vân/WCT Holdings Bhd,WCT Holdings Bhd,WCT Holdings Bhd,WCTE.KL,1.0,matched
Dương/178.SUMH.NS,178.SUMH.NS,Sumitomo Chemical India Ltd,SUMH.NS,1.0,matched
Thái/HEKR.KL,HEKR.KL,Hektar Real Estate Investment Trust,HEKR.KL,1.0,matched
Vân/Sarawak palm oil Bhd,Sarawak palm oil Bhd,Can-One Bhd,CNON.KL,0.24395572500006343,unmatched
Vân/Barloworld Ltd,Barloworld Ltd,Barloworld Ltd,BAWJ.J,1.0,matched
Giang/DIVI.NS,DIVI.NS,Divi's Laboratories Ltd,DIVI.NS,1.0,matched
Vân/Teo Seng Capital Bhd,Teo Seng Capital Bhd,Teo Seng Capital Bhd,TSCP.KL,1.0000000000000002,matched
Thái/NVTE.KL,NVTE.KL,Notion VTec Bhd,NVTE.KL,1.0,matched
Giang/GGAS.NS,GGAS.NS,Gujarat Gas Ltd,GGAS.NS,1.0,matched
Dương/96. ENDU,96. ENDU,Endurance Technologies Ltd,ENDU.NS,1.0,matched
Giang/JBCH.NS,JBCH.NS,J B Chemicals and Pharmaceuticals Ltd,JBCH.NS,1.0,matched
Dương/85. ADAI,85. ADAI,Adani Energy Solutions Ltd,ADAI.NS,1.0,matched
Vân/Telekom Malaysia Bhd,Telekom Malaysia Bhd,Telekom Malaysia Bhd,TLMM.KL,1.0000000000000002,matched
Dương/112. TCIE,112. TCIE,TCI Express Ltd,TCIE.NS,1.0,matched
Vân/CSC Steel Holdings Bhd,CSC Steel Holdings Bhd,CSC Steel Holdings Bhd,CSTH.KL,1.0000000000000002,matched
Dương/150. AFFL.NS,150. AFFL.NS,Affle 3i Ltd,AFFL.NS,1.0,matched
Thái/METR.KL,METR.KL,MKH Bhd,METR.KL,1.0,matched
Thái/TECE.KL,TECE.KL,Techbase Industries Bhd,TECE.KL,1.0,matched
Thái/HTHB,HTHB,Hartalega Holdings Bhd,HTHB.KL,1.0,matched
Dương/ENEY.NS,ENEY.NS,,,0.0,unmatched
Giang/BJEL.NS,BJEL.NS,Bajaj Electricals Ltd,BJEL.NS,1.0,matched
Thái/GNCH.KL,GNCH.KL,Guan Chong Bhd,GNCH.KL,1.0,matched
Thái/KRIB.KL,KRIB.KL,Kossan Rubber Industries Bhd,KRIB.KL,1.0,matched
Thái/CCKH.KL,CCKH.KL,CCK Consolidated Holdings Bhd,CCKH.KL,1.0,matched
Vân/Tex Cycle Technology (M) Bhd,Tex Cycle Technology (M) Bhd,Tex Cycle Technology (M) Bhd,TXCY.KL,1.0000000000000002,matched
Dương/8. NVL,8. NVL,No Va Land Investment Group Corp,NVL.HM,1.0,matched
Thái/ANRE.KL,ANRE.KL,Analabs Resources Bhd,ANRE.KL,1.0,matched
Dương/220 + VIJA.NS,220 + VIJA.NS,Vijaya Diagnostic Centre Ltd,VIJA.NS,1.0,matched
Dương/137. NAZA,137. NAZA,Nazara Technologies Ltd,NAZA.NS,1.0,matched
Giang/WCKH.NS,WCKH.NS,Wockhardt Ltd,WCKH.NS,1.0,matched
Vân/UZMA,UZMA,Uzma Bhd,UZMA.KL,1.0,matched
Vân/SM Prime Holdings Inc,SM Prime Holdings Inc,SM Investments Corp,SM.PS,1.0,matched
Vân/Willowglen MSC Bhd,Willowglen MSC Bhd,Malaysia Smelting Corporation Bhd,MSCB.KL,1.0,matched
Vân/Octodec Investments Ltd,Octodec Investments Ltd,Octodec Investments Ltd,OCTJ.J,1.0000000000000002,matched
Vân/Innity Corporation Bhd,Innity Corporation Bhd,Innity Corporation Bhd,INNY.KL,1.0000000000000002,matched
Vân/TAFI Industries Bhd,TAFI Industries Bhd,TAFI Industries Bhd,TAFI.KL,1.0,matched
Giang/GDFR.NS,GDFR.NS,Godfrey Phillips India Ltd,GDFR.NS,1.0,matched
Thái/KPJH.KL,KPJH.KL,KPJ Healthcare Bhd,KPJH.KL,1.0,matched
Vân/Hyprop Investments Ltd,Hyprop Investments Ltd,Hyprop Investments Ltd,HYPJ.J,1.0000000000000002,matched
Vân/Mr Price Group Ltd,Mr Price Group Ltd,Mr Price Group Ltd,MRPJ.J,1.0000000000000002,matched
Giang/GRPH.NS,GRPH.NS,Graphite India Ltd,GRPH.NS,1.0,matched
Thái/NEXT.KL,NEXT.KL,Nextgreen Global Bhd,NEXT.KL,1.0,matched
Vân/MTN Group Ltd,MTN Group Ltd,MTN Group Ltd,MTNJ.J,1.0,matched
Giang/ESCO.NS,ESCO.NS,Escorts Kubota Ltd,ESCO.NS,1.0,matched
Dương/103. VARB,103. VARB,Varun Beverages Ltd,VARB.NS,1.0,matched
Dương/16. HPG,16. HPG,Hoa Phat Group JSC,HPG.HM,1.0,matched
Vân/Northam Platinum Holdings Ltd,Northam Platinum Holdings Ltd,Northam Platinum Holdings Ltd,NPHJ.J,1.0000000000000002,matched
Dương/POLC.NS,POLC.NS,Polycab India Ltd,POLC.NS,1.0,matched
Thái/KKBE.KL,KKBE.KL,KKB Engineering Berhad,KKBE.KL,1.0,matched
