Rank,Company Name,HQ,Industry Group,Mkt. Cap (M),ESG Score
367,Attacq Ltd,ZA,Residential & Commercial REITs,$625,59.61
368,Interconnection Electric SA ESP,CO,Electric Utilities & IPPs,"$6,335",59.55
369,Banco Davivienda SA,CO,Banking Services,$717,59.54
370,Tata Consumer Products Ltd,IN,Food & Tobacco,"$11,932",59.47
371,Banpu Power PCL,TH,Electric Utilities & IPPs,$786,59.41
372,RHB Bank Bhd,MY,Banking Services,"$6,675",59.32
373,IJM Corporation Bhd,MY,Construction & Engineering,"$2,588",59.29
374,Tata Power Company Ltd,IN,Electric Utilities & IPPs,"$14,126",59.15
375,Aselsan Elektronik Sanayi ve Ticaret AS,TR,Aerospace & Defense,"$19,516",59.11
376,ICICI Lombard General Insurance Company Ltd,IN,Insurance,"$10,853",58.94
376,Oi SA - em Recuperacao Judicial,BR,Telecommunications Services,$36,58.94
378,Neoenergia SA,BR,Electric Utilities & IPPs,"$5,996",58.91
379,Vodafone Idea Ltd,IN,Telecommunications Services,"$7,867",58.88
380,Orlen SA,PL,Oil & Gas,"$25,041",58.85
380,Globe Telecom Inc,PH,Telecommunications Services,"$4,355",58.85
382,UPL Ltd,IN,Chemicals,"$6,433",58.84
383,DRDGOLD Ltd,ZA,Metals & Mining,"$1,323",58.80
383,Reunert Ltd,ZA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",$570,58.80
385,Itausa SA,BR,Banking Services,"$22,427",58.79
386,Elang Mahkota Teknologi Tbk PT,ID,Media & Publishing,"$3,677",58.72
387,Gamuda Bhd,MY,Construction & Engineering,"$7,691",58.66
388,Marfrig Global Foods SA,BR,Food & Tobacco,"$3,409",58.63
389,Cogna Educacao SA,BR,"Schools, Colleges & Universities",$998,58.58
390,Budimex SA,PL,Construction & Engineering,"$3,928",58.43
391,CP All PCL,TH,Food & Drug Retailing,"$12,758",58.34
392,YTL Corporation Bhd,MY,Multiline Utilities,"$6,980",58.27
393,Cyfrowy Polsat SA,PL,Telecommunications Services,"$2,582",58.22
394,WEG SA,BR,"Machinery, Tools, Heavy Vehicles, Trains & Ships","$28,471",58.19
394,Multiplan Empreendimentos Imobiliarios SA,BR,Real Estate Operations,"$2,521",58.19
396,Global Yatirim Holding AS,TR,Investment Holding Companies,$435,58.17
397,Muangthai Capital PCL,TH,Banking Services,"$2,454",58.16
398,Alpek SAB de CV,MX,Chemicals,"$1,012",58.09
399,Thermax Limited,IN,"Machinery, Tools, Heavy Vehicles, Trains & Ships","$4,245",58.06
400,Origin Property PCL,TH,Real Estate Operations,$162,57.99
401,Star Petroleum Refining PCL,TH,Oil & Gas,$664,57.95
402,Thai Vegetable Oil PCL,TH,Food & Tobacco,$670,57.84
402,TIPCO Asphalt PCL,TH,Construction Materials,$731,57.84
404,JSW Steel Ltd,IN,Metals & Mining,"$29,350",57.83
405,HELLENiQ ENERGY Holdings SA,GR,Oil & Gas,"$3,056",57.82
406,Banco BTG Pactual SA,BR,Investment Banking & Investment Services,"$37,421",57.78
407,Grupo Elektra SAB de CV,MX,Banking Services,"$4,174",57.75
408,Manila Electric Co,PH,Electric Utilities & IPPs,"$10,699",57.69
409,Avi Ltd,ZA,Food & Tobacco,"$1,845",57.67
410,Media Prima Bhd,MY,Media & Publishing,$96,57.66
411,Credito Real SAB de CV SOFOM ENR,MX,Banking Services,$7,57.54
412,GFPT PCL,TH,Food & Tobacco,$399,57.51
413,Tat Gida Sanayi AS,TR,Food & Tobacco,$80,57.49
414,Metropolitan Bank and Trust Co,PH,Banking Services,"$5,574",57.46
415,Gail (India) Ltd,IN,Natural Gas Utilities,"$13,014",57.42
416,LH Financial Group PCL,TH,Banking Services,$517,57.36
417,Richter Gedeon Vegyeszeti Gyar Nyrt,HU,Pharmaceuticals,"$5,777",57.35
418,Besler Gida ve Kimya Sanayi ve Ticaret AS,TR,Food & Tobacco,$263,57.24
419,Shree Cement Ltd,IN,Construction Materials,"$12,527",57.23
420,Tata Chemicals Ltd,IN,Chemicals,"$2,738",57.16
421,IDFC First Bank Ltd,IN,Banking Services,"$5,855",57.05
422,SM Investments Corp,PH,Food & Drug Retailing,"$17,253",57.04
423,Aluminium Bahrain BSC,BH,Metals & Mining,"$3,402",56.98
423,Unacemcorp SAA,PE,Construction Materials,$719,56.98
425,Grupo Aeroportuario del Sureste SAB de CV,MX,Transport Infrastructure,"$8,954",56.97
426,Murray & Roberts Holdings Ltd,ZA,Construction & Engineering,$28,56.94
427,Bangkok Dusit Medical Services PCL,TH,Healthcare Providers & Services,"$11,236",56.90
427,Qualitas Controladora SAB de CV,MX,Insurance,"$3,689",56.90
429,FGV Holdings Bhd,MY,Food & Tobacco,"$1,122",56.85
430,Companhia Siderurgica Nacional SA,BR,Metals & Mining,"$1,823",56.82
431,Jindal Steel Ltd,IN,Metals & Mining,"$11,575",56.81
432,Maruti Suzuki India Ltd,IN,Automobiles & Auto Parts,"$46,069",56.79
433,Regional SAB de CV,MX,Banking Services,"$2,558",56.73
434,Companhia de Saneamento Basico do Estado de Sao Paulo - SABESP,BR,Water & Related Utilities,"$15,168",56.68
435,Movida Participacoes SA,BR,Passenger Transportation Services,$477,56.54
436,Tongaat Hulett Ltd,ZA,Food & Tobacco,$31,56.53
437,Bharti Airtel Ltd,IN,Telecommunications Services,"$127,839",56.36
438,KCE Electronics PCL,TH,Semiconductors & Semiconductor Equipment,$940,56.35
439,Titan Company Ltd,IN,Textiles & Apparel,"$35,111",56.27
440,Rumo SA,BR,Freight & Logistics Services,"$5,470",56.19
441,Sociedad Minera Cerro Verde SAA,PE,Metals & Mining,"$14,282",56.17
442,Berli Jucker PCL,TH,Diversified Retail,"$2,314",56.08
443,Grupo Aeroportuario del Centro Norte SAB de CV,MX,Transport Infrastructure,"$4,510",56.03
444,Malaysia Marine and Heavy Engineering Holdings Bhd,MY,Oil & Gas Related Equipment and Services,$136,55.89
445,NK KazMunayGaz AO,KZ,Oil & Gas,"$22,785",55.86
446,Tata Communications Ltd,IN,Telecommunications Services,"$5,336",55.80
447,Grenevia SA,PL,Metals & Mining,$407,55.62
448,Sun Pharmaceutical Industries Ltd,IN,Pharmaceuticals,"$44,921",55.53
449,GMexico Transportes SAB de CV,MX,Freight & Logistics Services,"$7,492",55.47
450,Braskem SA,BR,Chemicals,"$1,249",55.34
451,Kuala Lumpur Kepong Bhd,MY,Chemicals,"$5,280",55.32
452,Iskenderun Demir ve Celik AS,TR,Metals & Mining,"$2,827",55.24
453,Semen Indonesia (Persero) Tbk PT,ID,Construction Materials,"$1,091",55.22
454,Namyong Terminal PCL,TH,Transport Infrastructure,$113,55.07
455,NAK Kazatomprom AO,KZ,Uranium,"$11,319",55.01
456,Mr Price Group Ltd,ZA,Specialty Retailers,"$3,133",54.96
457,Agesa Hayat ve Emeklilik AS,TR,Insurance,$751,54.95
458,AKR Corporindo Tbk PT,ID,Oil & Gas,"$1,578",54.91
459,Grupo Argos SA,CO,Electric Utilities & IPPs,"$3,326",54.90
460,Bahrain National Holding Company BSC,BH,Insurance,$175,54.77
461,Sime Darby Bhd,MY,Consumer Goods Conglomerates,"$2,692",54.75
462,Promigas SA ESP,CO,Natural Gas Utilities,"$1,919",54.70
463,Sri Trang Agro Industry PCL,TH,Automobiles & Auto Parts,$602,54.67
464,Oil and Natural Gas Corporation Ltd,IN,Oil & Gas,"$34,281",54.66
465,Nexa Resources Atacocha SAA,PE,Metals & Mining,$38,54.43
466,Mpact Ltd,ZA,Containers & Packaging,$230,54.41
467,Telkom SA SOC Ltd,ZA,Telecommunications Services,"$1,564",54.27
468,ENGIE Energia Peru SA,PE,Electric Utilities & IPPs,$634,54.13
469,Barito Pacific Tbk PT,ID,Chemicals,"$13,381",53.97
470,Bumitama Agri Ltd,ID,Food & Tobacco,"$1,253",53.96
471,Piramal Enterprises Ltd,IN,Banking Services,"$2,899",53.88
472,International Container Terminal Services Inc,PH,Transport Infrastructure,"$17,391",53.86
473,America Movil SAB de CV,MX,Telecommunications Services,"$57,345",53.84
474,Datatec Ltd,ZA,Software & IT Services,$749,53.77
475,Astro Malaysia Holdings Bhd,MY,Media & Publishing,$179,53.59
476,Thanachart Capital PCL,TH,Investment Holding Companies,"$1,619",53.58
477,Rimac Seguros y Reaseguros,PE,Insurance,$556,53.40
478,Petronas Gas Bhd,MY,Natural Gas Utilities,"$8,855",53.35
479,InRetail Peru Corp,PE,Food & Drug Retailing,"$2,935",53.31
480,Karsan Otomotiv Sanayii ve Ticaret AS,TR,Automobiles & Auto Parts,$227,53.08
481,TOA Paint Thailand PCL,TH,Chemicals,$940,53.00
482,Aegean Airlines SA,GR,Passenger Transportation Services,"$1,507",52.83
483,Adani Enterprises Ltd,IN,Diversified Industrial Goods Wholesale,"$30,046",52.82
484,GeoPark Ltd,CO,Oil & Gas,$345,52.80
485,Banco Bilbao Vizcaya Argentaria Colombia SA,CO,Banking Services,$776,52.79
486,SASA Polyester Sanayi AS,TR,Textiles & Apparel,"$3,768",52.75
487,Interglobe Aviation Ltd,IN,Passenger Transportation Services,"$26,345",52.66
488,Eurocash SA,PL,Food & Drug Retailing,$306,52.62
489,Hyprop Investments Ltd,ZA,Residential & Commercial REITs,"$1,040",52.56
490,Bangkok Commercial Asset Management PCL,TH,Investment Banking & Investment Services,$838,52.52
491,LTIMindtree Ltd,IN,Software & IT Services,"$17,308",52.49
492,Discovery Ltd,ZA,Insurance,"$8,252",52.48
493,SA Corporate Real Estate Ltd,ZA,Residential & Commercial REITs,$463,52.32
494,GCC SAB de CV,MX,Construction Materials,"$3,177",52.26
495,Vista Energy SAB de CV,MX,Oil & Gas,"$4,553",52.24
496,Cashbuild Ltd,ZA,Specialty Retailers,$203,52.18
497,Sok Marketler Ticaret AS,TR,Diversified Retail,$551,52.15
498,IOI Corporation Bhd,MY,Food & Tobacco,"$5,723",52.04
499,FirstRand Ltd,ZA,Banking Services,"$24,751",52.02
500,Eneva SA,BR,Electric Utilities & IPPs,"$4,965",51.86
501,Haad Thip PCL,TH,Beverages,$189,51.78
502,PLDT Inc,PH,Telecommunications Services,"$4,975",51.77
503,PTT Oil and Retail Business PCL,TH,Oil & Gas,"$4,816",51.76
504,Pinar Sut Mamulleri Sanayii AS,TR,Food & Tobacco,$95,51.70
505,Genting Plantations Bhd,MY,Food & Tobacco,"$1,057",51.69
506,Carlsberg Brewery Malaysia Bhd,MY,Beverages,"$1,252",51.58
507,Crompton Greaves Consumer Electricals Ltd,IN,Household Goods,"$2,341",51.53
508,Neuca SA,PL,Pharmaceuticals,$818,51.48
509,Kap Ltd,ZA,Consumer Goods Conglomerates,$242,51.36
510,Ambev SA,BR,Beverages,"$35,385",51.30
511,Minsur SA,PE,Metals & Mining,"$1,083",51.20
512,Hana Microelectronics PCL,TH,Semiconductors & Semiconductor Equipment,$634,51.18
513,Top Glove Corporation Bhd,MY,Healthcare Equipment & Supplies,"$1,205",51.02
514,Gentera SAB de CV,MX,Banking Services,"$3,680",51.00
515,Coforge Ltd,IN,Software & IT Services,"$6,194",50.95
516,TMBThanachart Bank PCL,TH,Banking Services,"$5,844",50.87
517,Surya Citra Media Tbk PT,ID,Media & Publishing,"$1,090",50.84
517,Manappuram Finance Ltd,IN,Banking Services,"$2,473",50.84
519,Apollo Tyres Ltd,IN,Automobiles & Auto Parts,"$3,217",50.79
520,Plan B Media PCL,TH,Media & Publishing,$696,50.78
521,Asian Paints Ltd,IN,Chemicals,"$27,363",50.72
521,Bangkok Life Assurance PCL,TH,Insurance,$944,50.72
523,Trent Ltd,IN,Diversified Retail,"$21,911",50.71
524,Adani Green Energy Ltd,IN,Electric Utilities & IPPs,"$17,380",50.66
525,Colgate-Palmolive (India) Ltd,IN,Personal & Household Products & Services,"$6,744",50.65
525,Genting Bhd,MY,Hotels & Entertainment Services,"$2,815",50.65
525,Cummins India Ltd,IN,Automobiles & Auto Parts,"$12,002",50.65
528,Asseco Poland SA,PL,Software & IT Services,"$4,280",50.60
529,Bangkok Aviation Fuel Services PCL,TH,Transport Infrastructure,$186,50.57
530,Odontoprev SA,BR,Healthcare Providers & Services,"$1,245",50.56
530,BEC World PCL,TH,Media & Publishing,$148,50.56
532,Apollo Hospitals Enterprise Ltd,IN,Healthcare Providers & Services,"$12,819",50.54
533,Megaworld Corp,PH,Real Estate Operations,"$1,213",50.52
534,AIA Engineering Ltd,IN,"Machinery, Tools, Heavy Vehicles, Trains & Ships","$3,338",50.43
535,Fabrinet,TH,Electronic Equipment & Parts,"$12,086",50.41
536,Organizacion Terpel SA,CO,Oil & Gas,$633,50.14
537,Hartalega Holdings Bhd,MY,Healthcare Equipment & Supplies,"$1,013",50.05
538,Gunkul Engineering PCL,TH,Electric Utilities & IPPs,$496,50.02
539,Bolsa Mexicana de Valores SAB de CV,MX,Investment Banking & Investment Services,"$1,184",49.95
540,REC Limited,IN,Banking Services,"$11,639",49.89
541,Sao Martinho SA,BR,Food & Tobacco,"$1,027",49.84
542,Bank Millennium SA,PL,Banking Services,"$5,279",49.82
543,Gol Linhas Aereas Inteligentes SA,BR,Passenger Transportation Services,$60,49.74
544,PETRONAS Chemicals Group Bhd,MY,Chemicals,"$6,812",49.72
545,GEK Terna SA,GR,Electric Utilities & IPPs,"$2,769",49.71
546,Aurobindo Pharma Ltd,IN,Pharmaceuticals,"$7,150",49.61
547,Bank Muscat SAOG,OM,Banking Services,"$6,026",49.41
548,Gerdau SA,BR,Metals & Mining,"$5,916",49.35
549,Pidilite Industries Ltd,IN,Chemicals,"$17,782",49.33
550,Indosat Tbk PT,ID,Telecommunications Services,"$4,477",49.29
551,Bharat Heavy Electricals Ltd,IN,"Machinery, Tools, Heavy Vehicles, Trains & Ships","$8,905",49.28
552,Mega Lifesciences PCL,TH,Pharmaceuticals,$834,49.23
553,Grasim Industries Ltd,IN,Construction Materials,"$21,272",49.18
554,NTPC Ltd,IN,Electric Utilities & IPPs,"$37,636",49.12
555,Waskita Karya (Persero) Tbk PT,ID,Construction & Engineering,$378,49.11
556,Grindrod Ltd,ZA,Transport Infrastructure,$526,49.09
557,Bermaz Auto Bhd,MY,Specialty Retailers,$187,49.08
558,Minerva SA,BR,Food & Tobacco,$895,49.06
559,Bizim Toptan Satis Magazalari AS,TR,Food & Drug Retailing,$55,49.01
560,Nemak SAB de CV,MX,Automobiles & Auto Parts,$589,48.97
560,Sekerbank TAS,TR,Banking Services,$362,48.97
562,Is Yatirim Menkul Degerler AS,TR,Investment Banking & Investment Services,"$1,527",48.94
563,ICICI Prudential Life Insurance Company Ltd,IN,Insurance,"$10,261",48.93
564,IRB-Brasil Resseguros SA,BR,Insurance,$709,48.79
565,Simpar SA,BR,Freight & Logistics Services,$742,48.46
566,HDFC Asset Management Company Ltd,IN,Investment Banking & Investment Services,"$13,389",48.34
567,Lewis Group Ltd,ZA,Specialty Retailers,$226,48.31
568,Zetrix AI Bhd,MY,Software & IT Services,"$1,628",48.21
569,Oil India Ltd,IN,Oil & Gas,"$7,559",48.16
570,Bumrungrad Hospital PCL,TH,Healthcare Providers & Services,"$4,615",47.95
571,Berger Paints India Ltd,IN,Chemicals,"$7,154",47.86
572,Blue Star Ltd,IN,"Machinery, Tools, Heavy Vehicles, Trains & Ships","$4,121",47.68
573,State Bank of India,IN,Banking Services,"$86,614",47.67
574,Telkom Indonesia (Persero) Tbk PT,ID,Telecommunications Services,"$20,445",47.58
575,Bank of Africa SA,MA,Banking Services,"$6,296",47.40
575,Osotspa PCL,TH,Beverages,"$1,706",47.40
577,Prestige Estates Projects Ltd,IN,Real Estate Operations,"$8,011",47.36
578,Taokaenoi Food & Marketing PCL,TH,Food & Tobacco,$256,47.35
579,KEX Express (Thailand) PCL,TH,Freight & Logistics Services,$160,47.32
580,Volcan Compania Minera SAA,PE,Metals & Mining,$373,47.27
581,Stefanutti Stocks Holdings Ltd,ZA,Construction & Engineering,$43,47.26
582,Bharat Electronics Ltd,IN,Aerospace & Defense,"$32,453",47.25
583,Grupo Casas Bahia SA,BR,Diversified Retail,$360,47.18
583,Ratchthani Leasing PCL,TH,Banking Services,$321,47.18
585,Energa SA,PL,Electric Utilities & IPPs,"$1,553",47.13
586,J K Cement Ltd,IN,Construction Materials,"$6,122",47.11
587,Piraeus Port Authority SA,GR,Transport Infrastructure,"$1,344",47.07
588,Jollibee Foods Corp,PH,Hotels & Entertainment Services,"$4,235",47.01
588,Dohome PCL,TH,Specialty Retailers,$403,47.01
590,Tenaga Nasional Bhd,MY,Electric Utilities & IPPs,"$19,026",46.99
591,Public Power Corporation SA,GR,Electric Utilities & IPPs,"$6,293",46.97
592,Tsogo Sun Ltd,ZA,Hotels & Entertainment Services,$395,46.84
593,Steel Authority of India Ltd,IN,Metals & Mining,"$5,850",46.76
594,MultiChoice Group Ltd,ZA,Media & Publishing,"$3,058",46.68
594,Ratch Group PCL,TH,Electric Utilities & IPPs,"$1,779",46.68
596,Torrent Pharmaceuticals Ltd,IN,Pharmaceuticals,"$13,980",46.59
597,Fortress Real Estate Investments Ltd,ZA,Real Estate Operations,"$1,494",46.51
598,Itissalat Al Maghrib Ste SA,MA,Telecommunications Services,"$11,681",46.50
599,Pinar Entegre Et ve Un Sanayii AS,TR,Food & Tobacco,$88,46.47
600,Eastern Water Resources Development and Management PCL,TH,Water & Related Utilities,$109,46.43
601,Burstone Group Ltd,ZA,Residential & Commercial REITs,$366,46.32
602,Arcelormittal South Africa Ltd,ZA,Metals & Mining,$60,46.30
603,Alior Bank SA,PL,Banking Services,"$4,235",46.26
604,Krungthai Card PCL,TH,Banking Services,"$2,368",46.24
605,Austral Group SAA,PE,Food & Tobacco,$121,46.22
606,Power Grid Corporation of India Ltd,IN,Electric Utilities & IPPs,"$30,603",46.12
607,Adcorp Holdings,ZA,Professional & Commercial Services,$40,46.04
607,Jastrzebska Spolka Weglowa SA,PL,Coal,$776,46.04
609,Astra International Tbk PT,ID,Consumer Goods Conglomerates,"$12,869",46.03
610,Thai Airways International PCL,TH,Passenger Transportation Services,"$14,069",46.00
611,Grupo Gigante SAB de CV,MX,Specialty Retailers,"$1,516",45.90
612,Wilson Bayly Holmes - Ovcon Ltd,ZA,Construction & Engineering,$705,45.87
613,BB Seguridade Participacoes SA,BR,Insurance,"$12,963",45.86
614,Wilcon Depot Inc,PH,Specialty Retailers,$725,45.81
615,Maxis Bhd,MY,Telecommunications Services,"$6,523",45.66
616,Companhia de Saneamento do Parana Sanepar,BR,Water & Related Utilities,"$1,938",45.60
617,Gafisa SA,BR,Real Estate Operations,$30,45.49
618,Equatorial SA,BR,Electric Utilities & IPPs,"$8,291",45.47
619,Macquarie Mexico Real Estate Management SA de CV,MX,Residential & Commercial REITs,"$1,349",45.40
620,Nampak Ltd,ZA,Containers & Packaging,$236,45.23
621,Indus Towers Ltd,IN,Telecommunications Services,"$10,156",45.11
621,Equites Property Fund Ltd,ZA,Residential & Commercial REITs,$768,45.11
623,Corporacion Financiera Colombiana SA,CO,Investment Banking & Investment Services,"$1,571",45.06
623,Balkrishna Industries Ltd,IN,Automobiles & Auto Parts,"$5,324",45.06
625,Alliance Bank Malaysia Bhd,MY,Banking Services,"$1,899",45.00
626,Lupin Ltd,IN,Pharmaceuticals,"$10,376",44.78
627,Exide Industries Ltd,IN,Automobiles & Auto Parts,"$3,646",44.77
628,Gielda Papierow Wartosciowych w Warszawie SA,PL,Investment Banking & Investment Services,$654,44.74
629,Banco de Bogota SA,CO,Banking Services,"$2,982",44.71
630,Hong Leong Financial Group Bhd,MY,Banking Services,"$4,495",44.63
631,Thoresen Thai Agencies PCL,TH,Investment Holding Companies,$376,44.61
632,Colombia Telecomunicaciones SA ESP BIC,CO,Telecommunications Services,"$1,763",44.56
633,Universal Robina Corp,PH,Food & Tobacco,"$3,028",44.54
634,Kardemir Karabuk Demir Celik Sanayi ve Ticaret AS,TR,Metals & Mining,$852,44.53
635,Remgro Ltd,ZA,Investment Holding Companies,"$5,072",44.36
636,Sendas Distribuidora SA,BR,Food & Drug Retailing,"$2,489",44.34
637,Dialog Group Bhd,MY,Oil & Gas Related Equipment and Services,"$2,350",44.13
638,Gr Sarantis SA,GR,Personal & Household Products & Services,"$1,031",44.08
639,Merafe Resources Ltd,ZA,Metals & Mining,$159,44.03
640,Alfa SAB de CV,MX,Consumer Goods Conglomerates,"$4,271",43.92
641,Bata India Ltd,IN,Textiles & Apparel,"$1,610",43.76
642,PGE Polska Grupa Energetyczna SA,PL,Electric Utilities & IPPs,"$7,155",43.73
643,Compania de Minas Buenaventura SAA,PE,Metals & Mining,"$4,302",43.67
644,Dyo Boya Fabrikalari Sanayi Ve Ticaret AS,TR,Chemicals,$115,43.66
645,Vietnam Enterprise Investments Ltd,VN,Collective Investments,"$1,648",43.57
646,PKP Cargo SA w restrukturyzacji,PL,Freight & Logistics Services,$195,43.56
647,Jumbo SA,GR,Specialty Retailers,"$5,057",43.38
648,Bank of Bahrain and Kuwait BSC,BH,Banking Services,"$2,473",43.37
649,Britannia Industries Ltd,IN,Food & Tobacco,"$14,783",43.36
650,Shoprite Holdings Ltd,ZA,Food & Drug Retailing,"$9,123",43.35
651,Azul SA,BR,Passenger Transportation Services,$98,43.34
652,Empresa de Telecomunicaciones de Bogota SA Esp,CO,Telecommunications Services,$44,43.33
653,Dalmia Bharat Ltd,IN,Construction Materials,"$4,863",43.22
654,Security Bank Corp,PH,Banking Services,$947,43.15
655,CH Karnchang PCL,TH,Construction & Engineering,$727,43.06
656,Aveng Ltd,ZA,Construction & Engineering,$41,43.03
657,Afya Ltd,BR,"Schools, Colleges & Universities","$1,398",43.02
658,Altron Ltd,ZA,Software & IT Services,$483,42.97
658,IPCA Laboratories Ltd,IN,Pharmaceuticals,"$3,953",42.97
660,Rede D'Or Sao Luiz SA,BR,Healthcare Providers & Services,"$15,618",42.96
661,Vingroup JSC,VN,Real Estate Operations,"$16,900",42.88
662,Sports Toto Bhd,MY,Hotels & Entertainment Services,$435,42.72
663,Matahari Department Store Tbk PT,ID,Diversified Retail,$218,42.69
664,Thaifoods Group PCL,TH,Food & Tobacco,"$1,025",42.59
665,Aboitiz Power Corp,PH,Electric Utilities & IPPs,"$5,320",42.57
666,Energisa SA,BR,Electric Utilities & IPPs,"$4,191",42.56
666,AK Sigorta AS,TR,Insurance,$271,42.56
668,PVR INOX Ltd,IN,Hotels & Entertainment Services,"$1,209",42.54
669,Land and Houses PCL,TH,Real Estate Operations,"$1,468",42.49
670,Bumi Serpong Damai Tbk PT,ID,Real Estate Operations,"$1,164",42.40
671,Coal India Ltd,IN,Coal,"$27,167",42.38
672,Grupo Aeroportuario del Pacifico SAB de CV,MX,Transport Infrastructure,"$10,532",42.34
673,DMCI Holdings Inc,PH,Consumer Goods Conglomerates,"$2,404",42.14
674,Beyon BSC,BH,Telecommunications Services,"$2,158",42.12
674,Indofood Sukses Makmur Tbk PT,ID,Food & Tobacco,"$4,328",42.12
676,RCL Foods Ltd,ZA,Food & Tobacco,$490,42.11
677,Energy Absolute PCL,TH,Electric Utilities & IPPs,$642,42.08
678,LIC Housing Finance Ltd,IN,Banking Services,"$3,607",41.97
679,Kruk SA,PL,Banking Services,"$2,268",41.94
680,Reliance Power Ltd,IN,Electric Utilities & IPPs,"$1,997",41.86
680,Bharat Forge Ltd,IN,Metals & Mining,"$6,449",41.86
682,ISA Energia Brasil SA,BR,Electric Utilities & IPPs,"$3,052",41.85
683,Lamda Development SA,GR,Real Estate Operations,"$1,393",41.71
684,JG Summit Holdings Inc,PH,Consumer Goods Conglomerates,"$3,299",41.70
684,Sanlam Ltd,ZA,Insurance,"$11,026",41.70
686,Zydus Lifesciences Ltd,IN,Pharmaceuticals,"$11,358",41.69
687,Lesaka Technologies Inc,ZA,Financial Technology (Fintech) & Infrastructure,$386,41.47
688,Aksa Enerji Uretim AS,TR,Electric Utilities & IPPs,"$1,262",41.39
689,Union de Cervecerias Peruanas Backus y Johnston SAA,PE,Beverages,"$7,033",41.33
690,Phoenix Mills Ltd,IN,Real Estate Operations,"$5,866",41.20
691,Shriram Finance Ltd,IN,Banking Services,"$13,298",41.18
692,Pakuwon Jati Tbk PT,ID,Real Estate Operations,"$1,154",41.16
693,United Spirits Ltd,IN,Beverages,"$10,847",41.15
693,Transmissora Alianca de Energia Eletrica S/A,BR,Electric Utilities & IPPs,"$2,117",41.15
695,Cahya Mata Sarawak Bhd,MY,Construction Materials,$310,41.12
696,GFH Financial Group BSC,BH,Investment Banking & Investment Services,"$1,437",41.06
697,Omnia Holdings Ltd,ZA,Chemicals,$714,41.05
697,Diagnosticos da America SA,BR,Healthcare Providers & Services,$325,41.05
699,MIG Holdings SA,GR,Real Estate Operations,$123,41.03
700,Globe Trade Centre SA,PL,Real Estate Operations,$694,41.02
701,D.M. Wenceslao & Associates Inc,PH,Real Estate Operations,$313,40.86
702,Erawan Group PCL,TH,Hotels & Entertainment Services,$380,40.60
703,Supalai PCL,TH,Real Estate Operations,$953,40.50
704,City Lodge Hotels Ltd,ZA,Hotels & Entertainment Services,$134,40.45
705,Jordan Islamic Bank Co PLC,JO,Banking Services,"$1,201",40.39
706,Bidvest Group Ltd,ZA,Consumer Goods Conglomerates,"$4,650",40.38
707,Emira Property Fund Ltd,ZA,Residential & Commercial REITs,$342,40.24
708,Gruma SAB de CV,MX,Food & Tobacco,"$6,177",40.23
709,Malayan Cement Bhd,MY,Construction Materials,"$1,714",40.12
710,Bajaj Finserv Ltd,IN,Banking Services,"$34,890",40.02
711,Iochpe Maxion SA,BR,Automobiles & Auto Parts,$401,39.90
712,Hudaco Industries Ltd,ZA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",$313,39.77
713,YTL Power International Bhd,MY,Multiline Utilities,"$8,738",39.62
714,HDFC Life Insurance Company Ltd,IN,Insurance,"$19,107",39.58
714,Azzas 2154 SA,BR,Specialty Retailers,"$1,263",39.58
716,YDUQS Participacoes SA,BR,"Schools, Colleges & Universities",$660,39.53
717,Getin Holding SA,PL,Banking Services,$27,39.50
718,Stalprodukt SA,PL,Metals & Mining,$378,39.36
719,Construcciones el Condor SA,CO,Construction & Engineering,$67,39.27
720,Container Corporation of India Ltd,IN,Freight & Logistics Services,"$4,709",39.13
721,Saksiam Leasing PCL,TH,Banking Services,$239,38.87
722,Gujarat State Petronet Ltd,IN,Natural Gas Utilities,"$1,951",38.83
723,Cydsa SAB de CV,MX,Chemicals,$570,38.73
724,Qnb Bank AS,TR,Banking Services,"$65,308",38.72
725,Wizz Air Holdings PLC,HU,Passenger Transportation Services,"$1,845",38.48
726,Eicher Motors Ltd,IN,Automobiles & Auto Parts,"$17,895",38.35
727,Dino Polska SA,PL,Food & Drug Retailing,"$12,786",38.28
728,Grupo Comercial Chedraui SAB de CV,MX,Food & Drug Retailing,"$8,067",38.27
729,PPB Group Bhd,MY,Food & Tobacco,"$3,062",38.25
730,Astral Foods Ltd,ZA,Food & Tobacco,$449,38.06
730,Vardhman Textiles Ltd,IN,Textiles & Apparel,"$1,321",38.06
732,Syntec Construction PCL,TH,Construction & Engineering,$93,38.03
733,TQM Alpha PCL,TH,Insurance,$272,37.98
734,AAPICO Hitech PCL,TH,Automobiles & Auto Parts,$171,37.90
735,Nutun Ltd,ZA,Professional & Commercial Services,$62,37.86
736,Hap Seng Consolidated Bhd,MY,Consumer Goods Conglomerates,"$1,507",37.82
737,Southern Sun Ltd,ZA,Hotels & Entertainment Services,$664,37.80
738,Grupa Azoty SA,PL,Chemicals,$515,37.71
739,Quality Houses PCL,TH,Real Estate Operations,$463,37.58
740,Naspers Ltd,ZA,Software & IT Services,"$54,747",37.52
741,Azure Power Global Ltd,IN,Electric Utilities & IPPs,$10,37.47
742,Global Mediacom Tbk PT,ID,Media & Publishing,$150,37.37
