Rank,Company Name,HQ,Industry Group,Mkt. Cap (M),ESG Score
86,Tiger Brands Ltd,ZA,Food & Tobacco,"$3,077",77.29
87,Indo Tambangraya Megah Tbk PT,ID,Coal,"$1,560",76.88
88,Eurobank Ergasias Services and Holdings SA,GR,Banking Services,"$14,927",76.80
89,Hong Leong Bank Bhd,MY,Banking Services,"$10,100",76.67
90,Vakrangee Limited,IN,Software & IT Services,$107,76.31
91,Public Bank Bhd,MY,Banking Services,"$20,384",76.23
92,TAV Havalimanlari Holding AS,TR,Transport Infrastructure,"$2,285",76.20
93,AMMB Holdings Bhd,MY,Banking Services,"$4,303",76.03
94,Kordsa Teknik Tekstil AS,TR,Textiles & Apparel,$291,75.98
95,HCL Technologies Ltd,IN,Software & IT Services,"$46,434",75.94
96,Woolworths Holdings Ltd,ZA,Diversified Retail,"$2,894",75.89
97,Godrej Consumer Products Ltd,IN,Personal & Household Products & Services,"$14,003",75.85
98,Manila Water Company Inc,PH,Water & Related Utilities,"$1,898",75.72
99,Brisa Bridgestone Sabanci Lastik Sanayi ve Ticaret AS,TR,Automobiles & Auto Parts,$578,75.63
100,Grupo de Inversiones Suramericana SA,CO,Insurance,"$4,302",75.51
101,Banco do Brasil SA,BR,Banking Services,"$20,467",75.44
102,Energy of Minas Gerais Co,BR,Electric Utilities & IPPs,"$6,499",75.13
103,Havells India Ltd,IN,"Machinery, Tools, Heavy Vehicles, Trains & Ships","$10,493",75.12
104,Petronas Dagangan Bhd,MY,Oil & Gas,"$5,526",75.07
105,Aspen Pharmacare Holdings Ltd,ZA,Pharmaceuticals,"$2,953",74.96
106,ING Bank Slaski SA,PL,Banking Services,"$12,145",74.83
107,Powszechny Zaklad Ubezpieczen SA,PL,Insurance,"$15,529",74.80
108,Magyar Telekom Tavkozlesi Nyrt,HU,Telecommunications Services,"$5,269",74.79
109,Larsen and Toubro Ltd,IN,Construction & Engineering,"$58,008",74.77
110,Sasol Ltd,ZA,Chemicals,"$3,598",74.61
111,Axis Bank Ltd,IN,Banking Services,"$37,755",74.59
112,B3 SA Brasil Bolsa Balcao,BR,Investment Banking & Investment Services,"$12,766",74.57
113,Unilever Indonesia Tbk PT,ID,Personal & Household Products & Services,"$4,183",74.44
114,Petroleo Brasileiro SA Petrobras,BR,Oil & Gas,"$76,251",74.41
115,Hellenic Telecommunications Organization SA,GR,Telecommunications Services,"$7,637",74.36
116,Orange Polska SA,PL,Telecommunications Services,"$3,101",73.91
117,OTP Bank Nyrt,HU,Banking Services,"$25,166",73.81
118,Ashok Leyland Ltd,IN,"Machinery, Tools, Heavy Vehicles, Trains & Ships","$8,028",73.75
119,Thai Union Group PCL,TH,Food & Tobacco,"$1,733",73.52
120,Indian Hotels Company Ltd,IN,Hotels & Entertainment Services,"$12,511",73.48
121,MTN Group Ltd,ZA,Telecommunications Services,"$17,948",73.34
122,Turk Hava Yollari AO,TR,Passenger Transportation Services,"$10,993",73.20
